Input_FlowID,Input_layer,Input_layer_key,Output_FlowID,TC_target_layer,TC_target_key,value,value_min,value_max,is_residual,process,technology,source
ELV_collected,product,BEV,ELV_dismantled,component,elvBIW,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvBIW,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvBIW,0.82,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,BEV,ELV_dismantled,component,elvBattery,0.95,0.8,1,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBattery out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvBattery,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBattery out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvBattery,0.02,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,BEV,ELV_dismantled,component,elvBrakes,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvBrakes,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvBrakes,0.82,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,BEV,ELV_dismantled,component,elvChassis,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvChassis,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvChassis,0.82,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,BEV,ELV_dismantled,component,elvClosures,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvClosures out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvClosures,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvClosures out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvClosures,0.82,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,BEV,ELV_dismantled,component,elvDriveline,0.45,0.3,0.6,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvDriveline out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvDriveline,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvDriveline out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvDriveline,0.52,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,BEV,ELV_dismantled,component,elvPowertrain,0.8,0.65,0.95,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvPowertrain out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvPowertrain,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvPowertrain out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvPowertrain,0.17,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,BEV,ELV_dismantled,component,elvSteering,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvSteering out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvSteering,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvSteering out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvSteering,0.82,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,BEV,ELV_dismantled,component,elvThermalManagement,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvThermalManagement out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvThermalManagement,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvThermalManagement out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvThermalManagement,0.82,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,BEV,ELV_dismantled,component,elvTransmission,0.7,0.55,0.85,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvTransmission out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvTransmission,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvTransmission out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvTransmission,0.27,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,BEV,ELV_dismantled,component,elvTrim,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvTrim out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvTrim,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvTrim out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvTrim,0.82,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,BEV,ELV_dismantled,component,elvWheels,0.6,0.45,0.75,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvWheels out of a BEV"
ELV_collected,product,BEV,ELV_loss_dismantling,component,elvWheels,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvWheels out of a BEV"
ELV_collected,product,BEV,ELV_shredded,component,elvWheels,0.37,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,Diesel,ELV_dismantled,component,elvBIW,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW out of a Diesel"
ELV_collected,product,Diesel,ELV_loss_dismantling,component,elvBIW,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW out of a Diesel"
ELV_collected,product,Diesel,ELV_shredded,component,elvBIW,0.82,,,1,dismantling,manual,derived: what is neither pulled nor lost stays in the hulk
ELV_collected,product,Diesel,ELV_dismantled,component,elvBrakes,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes out of a Diesel"
ELV_collected,product,Diesel,ELV_loss_dismantling,component,elvBrakes,0.03,0,0.18,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes out of a Diesel"
