Input_FlowID,Input_layer,Input_layer_key,Output_FlowID,TC_target_layer,TC_target_key,value,value_min,value_max,is_residual,process,technology,source
ELV_collected,Layer 1,BEV,ELV_dismantled,Layer 2,elvBIW,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW out of a BEV"
ELV_collected,Layer 1,Diesel,ELV_dismantled,Layer 2,elvBIW,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW out of a Diesel"
ELV_collected,Layer 1,HEV,ELV_dismantled,Layer 2,elvBIW,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW out of a HEV"
ELV_collected,Layer 1,PHEV,ELV_dismantled,Layer 2,elvBIW,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW out of a PHEV"
ELV_collected,Layer 1,Petrol,ELV_dismantled,Layer 2,elvBIW,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW out of a Petrol"
ELV_collected,Layer 1,BEV,ELV_not_dismantled,Layer 2,elvBIW,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW left in a BEV and shredded with it"
ELV_collected,Layer 1,Diesel,ELV_not_dismantled,Layer 2,elvBIW,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW left in a Diesel and shredded with it"
ELV_collected,Layer 1,HEV,ELV_not_dismantled,Layer 2,elvBIW,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW left in a HEV and shredded with it"
ELV_collected,Layer 1,PHEV,ELV_not_dismantled,Layer 2,elvBIW,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW left in a PHEV and shredded with it"
ELV_collected,Layer 1,Petrol,ELV_not_dismantled,Layer 2,elvBIW,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBIW left in a Petrol and shredded with it"
ELV_not_dismantled,Layer 1,BEV,ELV_shredded,Layer 2,elvBIW,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_not_dismantled,Layer 1,Diesel,ELV_shredded,Layer 2,elvBIW,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_not_dismantled,Layer 1,HEV,ELV_shredded,Layer 2,elvBIW,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_not_dismantled,Layer 1,PHEV,ELV_shredded,Layer 2,elvBIW,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_not_dismantled,Layer 1,Petrol,ELV_shredded,Layer 2,elvBIW,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_collected,Layer 1,BEV,ELV_dismantled,Layer 2,elvBattery,0.95,0.7999999999999999,1,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBattery out of a BEV"
ELV_collected,Layer 1,HEV,ELV_dismantled,Layer 2,elvBattery,0.95,0.7999999999999999,1,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBattery out of a HEV"
ELV_collected,Layer 1,PHEV,ELV_dismantled,Layer 2,elvBattery,0.95,0.7999999999999999,1,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBattery out of a PHEV"
ELV_collected,Layer 1,BEV,ELV_not_dismantled,Layer 2,elvBattery,0.05,0.0375,0.2875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBattery left in a BEV and shredded with it"
ELV_collected,Layer 1,HEV,ELV_not_dismantled,Layer 2,elvBattery,0.05,0.0375,0.2875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBattery left in a HEV and shredded with it"
ELV_collected,Layer 1,PHEV,ELV_not_dismantled,Layer 2,elvBattery,0.05,0.0375,0.2875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBattery left in a PHEV and shredded with it"
ELV_not_dismantled,Layer 1,BEV,ELV_shredded,Layer 2,elvBattery,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_not_dismantled,Layer 1,HEV,ELV_shredded,Layer 2,elvBattery,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_not_dismantled,Layer 1,PHEV,ELV_shredded,Layer 2,elvBattery,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_collected,Layer 1,BEV,ELV_dismantled,Layer 2,elvBrakes,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes out of a BEV"
ELV_collected,Layer 1,Diesel,ELV_dismantled,Layer 2,elvBrakes,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes out of a Diesel"
ELV_collected,Layer 1,HEV,ELV_dismantled,Layer 2,elvBrakes,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes out of a HEV"
ELV_collected,Layer 1,PHEV,ELV_dismantled,Layer 2,elvBrakes,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes out of a PHEV"
ELV_collected,Layer 1,Petrol,ELV_dismantled,Layer 2,elvBrakes,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes out of a Petrol"
ELV_collected,Layer 1,BEV,ELV_not_dismantled,Layer 2,elvBrakes,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes left in a BEV and shredded with it"
ELV_collected,Layer 1,Diesel,ELV_not_dismantled,Layer 2,elvBrakes,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes left in a Diesel and shredded with it"
ELV_collected,Layer 1,HEV,ELV_not_dismantled,Layer 2,elvBrakes,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes left in a HEV and shredded with it"
ELV_collected,Layer 1,PHEV,ELV_not_dismantled,Layer 2,elvBrakes,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes left in a PHEV and shredded with it"
ELV_collected,Layer 1,Petrol,ELV_not_dismantled,Layer 2,elvBrakes,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvBrakes left in a Petrol and shredded with it"
ELV_not_dismantled,Layer 1,BEV,ELV_shredded,Layer 2,elvBrakes,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_not_dismantled,Layer 1,Diesel,ELV_shredded,Layer 2,elvBrakes,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_not_dismantled,Layer 1,HEV,ELV_shredded,Layer 2,elvBrakes,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_not_dismantled,Layer 1,PHEV,ELV_shredded,Layer 2,elvBrakes,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_not_dismantled,Layer 1,Petrol,ELV_shredded,Layer 2,elvBrakes,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
ELV_collected,Layer 1,BEV,ELV_dismantled,Layer 2,elvChassis,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis out of a BEV"
ELV_collected,Layer 1,Diesel,ELV_dismantled,Layer 2,elvChassis,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis out of a Diesel"
ELV_collected,Layer 1,HEV,ELV_dismantled,Layer 2,elvChassis,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis out of a HEV"
ELV_collected,Layer 1,PHEV,ELV_dismantled,Layer 2,elvChassis,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis out of a PHEV"
ELV_collected,Layer 1,Petrol,ELV_dismantled,Layer 2,elvChassis,0.15,0,0.3,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis out of a Petrol"
ELV_collected,Layer 1,BEV,ELV_not_dismantled,Layer 2,elvChassis,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis left in a BEV and shredded with it"
ELV_collected,Layer 1,Diesel,ELV_not_dismantled,Layer 2,elvChassis,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis left in a Diesel and shredded with it"
ELV_collected,Layer 1,HEV,ELV_not_dismantled,Layer 2,elvChassis,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis left in a HEV and shredded with it"
ELV_collected,Layer 1,PHEV,ELV_not_dismantled,Layer 2,elvChassis,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis left in a PHEV and shredded with it"
ELV_collected,Layer 1,Petrol,ELV_not_dismantled,Layer 2,elvChassis,0.85,0.6375,0.8875,,dismantling,manual,"MADE UP (Claude) -- not data, illustration of shape only: elvChassis left in a Petrol and shredded with it"
ELV_not_dismantled,Layer 1,BEV,ELV_shredded,Layer 2,elvChassis,1.0,,,,hulk_transfer,definitional,definitional: a hulk that was not dismantled goes to the shredder. Not measured -- there is nowhere else for it to go.
