Year,Stock/Flow ID,Layer 1,Layer 2,Layer 3,Layer 4,mean,sd,p2_5,p25,p50,p75,p97_5,deterministic
2040,ELV_collected,BEV,,,,7067015753.053513,0.0,7067015753.053513,7067015753.053513,7067015753.053513,7067015753.053513,7067015753.053513,7067015753.053513
2040,ELV_collected,Diesel,,,,1571962550.8332655,4.768419266462338e-07,1571962550.833266,1571962550.833266,1571962550.833266,1571962550.833266,1571962550.833266,1571962550.833266
2040,ELV_collected,HEV,,,,1292526109.1012444,2.384209633231169e-07,1292526109.1012447,1292526109.1012447,1292526109.1012447,1292526109.1012447,1292526109.1012447,1292526109.1012447
2040,ELV_collected,PHEV,,,,1101983100.734787,0.0,1101983100.734787,1101983100.734787,1101983100.734787,1101983100.734787,1101983100.734787,1101983100.734787
2040,ELV_collected,Petrol,,,,2829209242.8393025,0.0,2829209242.8393025,2829209242.8393025,2829209242.8393025,2829209242.8393025,2829209242.8393025,2829209242.8393025
2040,ELV_collected,BEV,elvBIW,,,1888353934.267578,0.0,1888353934.267578,1888353934.267578,1888353934.267578,1888353934.267578,1888353934.267578,1888353934.267578
2040,ELV_collected,BEV,elvBattery,,,1286088009.7021484,0.0,1286088009.7021484,1286088009.7021484,1286088009.7021484,1286088009.7021484,1286088009.7021484,1286088009.7021484
2040,ELV_collected,BEV,elvBrakes,,,181563617.43774414,0.0,181563617.43774414,181563617.43774414,181563617.43774414,181563617.43774414,181563617.43774414,181563617.43774414
2040,ELV_collected,BEV,elvChassis,,,944001741.4318846,0.0,944001741.4318846,944001741.4318846,944001741.4318846,944001741.4318846,944001741.4318846,944001741.4318846
2040,ELV_collected,BEV,elvClosures,,,522991823.72985846,5.960524083077923e-08,522991823.7298584,522991823.7298584,522991823.7298584,522991823.7298584,522991823.7298584,522991823.7298584
2040,ELV_collected,BEV,elvDriveline,,,254175729.5394897,2.980262041538961e-08,254175729.53948972,254175729.53948972,254175729.53948972,254175729.53948972,254175729.53948972,254175729.53948972
2040,ELV_collected,BEV,elvPowertrain,,,932068853.6914062,0.0,932068853.6914062,932068853.6914062,932068853.6914062,932068853.6914062,932068853.6914062,932068853.6914062
2040,ELV_collected,BEV,elvSteering,,,108960814.60998535,0.0,108960814.60998535,108960814.60998535,108960814.60998535,108960814.60998535,108960814.60998535,108960814.60998535
2040,ELV_collected,BEV,elvThermalManagement,,,179074457.17636108,0.0,179074457.17636108,179074457.17636108,179074457.17636108,179074457.17636108,179074457.17636108,179074457.17636108
2040,ELV_collected,BEV,elvTransmission,,,363046413.31604,5.960524083077923e-08,363046413.31604004,363046413.31604004,363046413.31604004,363046413.31604004,363046413.31604004,363046413.31604004
2040,ELV_collected,BEV,elvTrim,,,79872209.24110413,0.0,79872209.24110413,79872209.24110413,79872209.24110413,79872209.24110413,79872209.24110413,79872209.24110413
2040,ELV_collected,BEV,elvWheels,,,326818148.9099121,0.0,326818148.9099121,326818148.9099121,326818148.9099121,326818148.9099121,326818148.9099121,326818148.9099121
2040,ELV_collected,Diesel,elvBIW,,,492234688.89648443,0.0,492234688.89648443,492234688.89648443,492234688.89648443,492234688.89648443,492234688.89648443,492234688.89648443
2040,ELV_collected,Diesel,elvBrakes,,,47325073.16101074,0.0,47325073.16101074,47325073.16101074,47325073.16101074,47325073.16101074,47325073.16101074,47325073.16101074
2040,ELV_collected,Diesel,elvCatalyticConverters,,,14263.171509858223,1.819007593712745e-12,14263.17150985822,14263.17150985822,14263.17150985822,14263.17150985822,14263.17150985822,14263.17150985822
2040,ELV_collected,Diesel,elvChassis,,,246044709.4226074,0.0,246044709.4226074,246044709.4226074,246044709.4226074,246044709.4226074,246044709.4226074,246044709.4226074
2040,ELV_collected,Diesel,elvClosures,,,136273622.6977539,0.0,136273622.6977539,136273622.6977539,136273622.6977539,136273622.6977539,136273622.6977539,136273622.6977539
2040,ELV_collected,Diesel,elvDriveline,,,66250931.66038514,0.0,66250931.66038514,66250931.66038514,66250931.66038514,66250931.66038514,66250931.66038514,66250931.66038514
2040,ELV_collected,Diesel,elvEmbeddedElectronicsActuators,,,36131401.32621765,0.0,36131401.32621765,36131401.32621765,36131401.32621765,36131401.32621765,36131401.32621765,36131401.32621765
2040,ELV_collected,Diesel,elvEmbeddedElectronicsCables,,,4354074.118766785,0.0,4354074.118766785,4354074.118766785,4354074.118766785,4354074.118766785,4354074.118766785,4354074.118766785
2040,ELV_collected,Diesel,elvEmbeddedElectronicsControllers,,,13828412.09449768,0.0,13828412.09449768,13828412.09449768,13828412.09449768,13828412.09449768,13828412.09449768,13828412.09449768
2040,ELV_collected,Diesel,elvEmbeddedElectronicsHeadlights,,,10819393.057804108,0.0,10819393.057804108,10819393.057804108,10819393.057804108,10819393.057804108,10819393.057804108,10819393.057804108
2040,ELV_collected,Diesel,elvPowerElectronics,,,718451.856378317,1.1641648599761568e-10,718451.8563783169,718451.8563783169,718451.8563783169,718451.8563783169,718451.8563783169,718451.8563783169
2040,ELV_collected,Diesel,elvPowertrain,,,242171640.0738525,0.0,242171640.0738525,242171640.0738525,242171640.0738525,242171640.0738525,242171640.0738525,242171640.0738525
2040,ELV_collected,Diesel,elvSteering,,,28385992.340202335,3.725327551923702e-09,28385992.34020233,28385992.34020233,28385992.34020233,28385992.34020233,28385992.34020233,28385992.34020233
2040,ELV_collected,Diesel,elvThermalManagement,,,46761490.40077209,7.450655103847403e-09,46761490.400772095,46761490.400772095,46761490.400772095,46761490.400772095,46761490.400772095,46761490.400772095
2040,ELV_collected,Diesel,elvTransmission,,,94638109.57168578,1.4901310207694806e-08,94638109.57168579,94638109.57168579,94638109.57168579,94638109.57168579,94638109.57168579,94638109.57168579
2040,ELV_collected,Diesel,elvTrim,,,20819967.18826294,0.0,20819967.18826294,20819967.18826294,20819967.18826294,20819967.18826294,20819967.18826294,20819967.18826294
2040,ELV_collected,Diesel,elvWheels,,,85190329.79507445,0.0,85190329.79507445,85190329.79507445,85190329.79507445,85190329.79507445,85190329.79507445,85190329.79507445
2040,ELV_collected,HEV,elvBIW,,,353811775.6707764,5.960524083077923e-08,353811775.67077637,353811775.67077637,353811775.67077637,353811775.67077637,353811775.67077637,353811775.67077637
2040,ELV_collected,HEV,elvBattery,,,187767159.66094977,2.980262041538961e-08,187767159.66094974,187767159.66094974,187767159.66094974,187767159.66094974,187767159.66094974,187767159.66094974
2040,ELV_collected,HEV,elvBrakes,,,34015896.29684448,0.0,34015896.29684448,34015896.29684448,34015896.29684448,34015896.29684448,34015896.29684448,34015896.29684448
2040,ELV_collected,HEV,elvCatalyticConverters,,,36735.45614883304,0.0,36735.45614883304,36735.45614883304,36735.45614883304,36735.45614883304,36735.45614883304,36735.45614883304
2040,ELV_collected,HEV,elvChassis,,,176901028.06152347,0.0,176901028.06152347,176901028.06152347,176901028.06152347,176901028.06152347,176901028.06152347,176901028.06152347
2040,ELV_collected,HEV,elvClosures,,,98002025.60501097,1.4901310207694806e-08,98002025.60501099,98002025.60501099,98002025.60501099,98002025.60501099,98002025.60501099,98002025.60501099
2040,ELV_collected,HEV,elvDriveline,,,47634463.63151551,7.450655103847403e-09,47634463.6315155,47634463.6315155,47634463.6315155,47634463.6315155,47634463.6315155,47634463.6315155
2040,ELV_collected,HEV,elvPowertrain,,,174102126.80343628,0.0,174102126.80343628,174102126.80343628,174102126.80343628,174102126.80343628,174102126.80343628,174102126.80343628
2040,ELV_collected,HEV,elvSteering,,,20414045.312862396,3.725327551923702e-09,20414045.3128624,20414045.3128624,20414045.3128624,20414045.3128624,20414045.3128624,20414045.3128624
2040,ELV_collected,HEV,elvThermalManagement,,,33615135.295677185,0.0,33615135.295677185,33615135.295677185,33615135.295677185,33615135.295677185,33615135.295677185,33615135.295677185
2040,ELV_collected,HEV,elvTransmission,,,68025982.94174194,0.0,68025982.94174194,68025982.94174194,68025982.94174194,68025982.94174194,68025982.94174194,68025982.94174194
2040,ELV_collected,HEV,elvTrim,,,14969070.30977249,1.862663775961851e-09,14969070.309772491,14969070.309772491,14969070.309772491,14969070.309772491,14969070.309772491,14969070.309772491
2040,ELV_collected,HEV,elvWheels,,,61238284.32281494,0.0,61238284.32281494,61238284.32281494,61238284.32281494,61238284.32281494,61238284.32281494,61238284.32281494
2040,ELV_collected,HEV,elvgeneratorCable,,,19676765.62355042,0.0,19676765.62355042,19676765.62355042,19676765.62355042,19676765.62355042,19676765.62355042,19676765.62355042
2040,ELV_collected,HEV,elvgeneratorperMagnet,,,2315614.10861969,0.0,2315614.10861969,2315614.10861969,2315614.10861969,2315614.10861969,2315614.10861969,2315614.10861969
2040,ELV_collected,PHEV,elvBIW,,,296658481.8850708,0.0,296658481.8850708,296658481.8850708,296658481.8850708,296658481.8850708,296658481.8850708,296658481.8850708
2040,ELV_collected,PHEV,elvBattery,,,179484847.4786377,0.0,179484847.4786377,179484847.4786377,179484847.4786377,179484847.4786377,179484847.4786377,179484847.4786377
