Year,Stock/Flow ID,Substance_main_parent,Value,Unit
2020,F1,P1,100,Mg
2021,F1,P1,100,Mg
2022,F1,P1,100,Mg
2023,F1,P1,100,Mg
2024,F1,P1,100,Mg
2025,F1,P1,100,Mg
2026,F1,P1,100,Mg
2027,F1,P1,100,Mg
2028,F1,P1,100,Mg
2029,F1,P1,100,Mg
2030,F1,P1,100,Mg
2031,F1,P1,100,Mg
2032,F1,P1,100,Mg
2033,F1,P1,100,Mg
2034,F1,P1,100,Mg
2035,F1,P1,100,Mg
2036,F1,P1,100,Mg
2037,F1,P1,100,Mg
2038,F1,P1,100,Mg
2039,F1,P1,100,Mg
2040,F1,P1,100,Mg
2041,F1,P1,100,Mg
2042,F1,P1,100,Mg
2043,F1,P1,100,Mg
2044,F1,P1,100,Mg
2045,F1,P1,100,Mg
2046,F1,P1,100,Mg
2047,F1,P1,100,Mg
2048,F1,P1,100,Mg
2049,F1,P1,100,Mg
2050,F1,P1,100,Mg
2051,F1,P1,100,Mg
2052,F1,P1,100,Mg
2053,F1,P1,100,Mg
2054,F1,P1,100,Mg
2055,F1,P1,100,Mg
2056,F1,P1,100,Mg
2057,F1,P1,100,Mg
2058,F1,P1,100,Mg
2059,F1,P1,100,Mg
2060,F1,P1,100,Mg
2061,F1,P1,100,Mg
2062,F1,P1,100,Mg
2063,F1,P1,100,Mg
2064,F1,P1,100,Mg
2065,F1,P1,100,Mg
2066,F1,P1,100,Mg
2067,F1,P1,100,Mg
2068,F1,P1,100,Mg
2069,F1,P1,100,Mg
2070,F1,P1,100,Mg
