Input_FlowID,Input_layer,Input_layer_key,Output_FlowID,TC_target_layer,TC_target_key,value,value_min,value_max,process,technology
F1_collected,product,BEV,F2_dismantled,component,Harness,0.70,0.55,0.80,dismantling,manual
F1_collected,product,BEV,F3_shredded,component,Harness,0.25,0.15,0.40,dismantling,manual
F1_collected,product,BEV,F8_loss_dismantling,component,Harness,0.05,0.02,0.12,dismantling,manual
F1_collected,product,BEV,F2_dismantled,component,PCB,0.40,0.25,0.55,dismantling,manual
F1_collected,product,BEV,F3_shredded,component,PCB,0.55,0.40,0.70,dismantling,manual
F1_collected,product,BEV,F8_loss_dismantling,component,PCB,0.05,0.02,0.15,dismantling,manual
F2_dismantled,material,CuAlloy,F6_refined,element,Cu,0.95,0.90,0.98,refining,pyro
F2_dismantled,material,CuAlloy,F9_loss_refining,element,Cu,0.05,0.02,0.10,refining,pyro
F2_dismantled,material,CuAlloy,F6_refined,element,Au,0.90,0.80,0.96,refining,pyro
F2_dismantled,material,CuAlloy,F9_loss_refining,element,Au,0.10,0.04,0.20,refining,pyro
F2_dismantled,material,Laminate,F6_refined,element,Cu,0.92,0.85,0.97,refining,pyro
F2_dismantled,material,Laminate,F9_loss_refining,element,Cu,0.08,0.03,0.15,refining,pyro
F2_dismantled,material,Laminate,F6_refined,element,Au,0.88,0.75,0.95,refining,pyro
F2_dismantled,material,Laminate,F9_loss_refining,element,Au,0.12,0.05,0.25,refining,pyro
F3_shredded,material,CuAlloy,F6_refined,element,Cu,0.60,0.45,0.75,shredding,hammer_mill
F3_shredded,material,CuAlloy,F7_loss_shredding,element,Cu,0.40,0.25,0.55,shredding,hammer_mill
F3_shredded,material,CuAlloy,F6_refined,element,Au,0.30,0.15,0.50,shredding,hammer_mill
F3_shredded,material,CuAlloy,F7_loss_shredding,element,Au,0.70,0.50,0.85,shredding,hammer_mill
F3_shredded,material,Laminate,F6_refined,element,Cu,0.55,0.40,0.70,shredding,hammer_mill
F3_shredded,material,Laminate,F7_loss_shredding,element,Cu,0.45,0.30,0.60,shredding,hammer_mill
F3_shredded,material,Laminate,F6_refined,element,Au,0.25,0.10,0.45,shredding,hammer_mill
F3_shredded,material,Laminate,F7_loss_shredding,element,Au,0.75,0.55,0.90,shredding,hammer_mill
